Part,Color_RGBA,ElementCount,vonMises_max_Pa,vonMises_mean_Pa,vonMises_min_Pa,vonMises_p95_Pa,vonMises_std_Pa
PART_000_R31G119B180A255,"(31,119,180,255)",9326,41116396.33510005,6281534.4439902725,4.982202918600888e-06,29263576.66914823,9787626.460235788
PART_001_R158G218B229A255,"(158,218,229,255)",7702,41705163.66673086,7657183.110691979,1.3878501193547522e-05,30535633.777123652,10437010.400064865
PART_002_R214G39B40A255,"(214,39,40,255)",5750,41705163.66673086,3807862.898474642,1.0458344152379335e-05,16652561.132969012,5915597.114662261
PART_003_R247G182B210A255,"(247,182,210,255)",8290,41705163.66673086,4548880.989495212,1.0458344152379335e-05,21017980.847664353,7175098.821255072
