Part,ElementID,vonMises_Pa,Sxx_Pa,Syy_Pa,Szz_Pa,Sxy_Pa,Syz_Pa,Szx_Pa
PART_000_R31G119B180A255,15468,71949.73,-341180.3,-193061.3,321701.0,-4007.185,-3533.495,664818.3830895838
PART_000_R31G119B180A255,15469,102768.1,-322540.6,-177351.8,362541.2,-87055.27,-936.1463,746501.220672072
PART_000_R31G119B180A255,15470,63949.43,-346071.0,-113535.3,290301.0,-199245.2,-10183.53,706453.3182804273
PART_000_R31G119B180A255,15471,121695.3,-238385.9,-33788.2,561503.1,-170096.3,-18505.01,1063733.828568355
PART_000_R31G119B180A255,15472,62797.56,-338777.7,-13397.8,706243.3,202892.8,4956.404,1325284.5769527494
PART_000_R31G119B180A255,15473,15891.19,-432557.4,-59956.14,426405.1,265881.2,258.2842,964566.1681491251
PART_000_R31G119B180A255,15474,44992.6,-428370.9,-118595.5,486565.8,119829.6,-3936.046,962683.8233247987
PART_000_R31G119B180A255,15475,28626.12,-429757.8,-143257.6,435931.1,-2234.023,-537.069,854982.2850241275
PART_000_R31G119B180A255,15476,41367.65,-423190.3,-131536.1,493792.7,-123444.0,-2205.035,970880.7989093595
PART_000_R31G119B180A255,15477,27025.72,-411285.4,-81561.54,395376.9,-284881.2,6116.343,932129.6207383723
PART_000_R31G119B180A255,15478,50468.12,-326663.9,-24009.35,724080.9,-233737.8,8466.724,1362601.2616565856
PART_000_R31G119B180A255,15479,29167.31,-247670.2,-12675.34,794812.2,229382.9,-2493.863,1455971.7379008287
PART_000_R31G119B180A255,15480,24887.47,-298041.6,-42126.14,476859.0,314431.4,-3259.99,1032448.5854447837
PART_000_R31G119B180A255,15481,20954.42,-311719.6,-71679.11,546880.1,149751.4,-2532.897,1026141.0376195264
PART_000_R31G119B180A255,15482,24808.64,-312977.2,-87810.02,491118.3,577.0743,-1328.49,901298.5604686608
PART_000_R31G119B180A255,15483,23544.03,-305672.4,-81442.05,556011.6,-146723.5,1931.959,1037730.0439302989
PART_000_R31G119B180A255,15484,24058.85,-288769.0,-54233.55,435587.6,-325031.9,7729.738,982763.983310743
PART_000_R31G119B180A255,15485,28871.71,-246042.8,-17866.15,816066.2,-260773.7,4650.61,1505615.913899716
PART_000_R31G119B180A255,15486,8241.553,-58919.36,-12214.17,842016.6,241229.0,-8276.667,1518325.019488666
